City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bilibino,66,RU,1584331191,82,68.05,166.44,4.89,3.49
Kizema,0,RU,1584331559,87,61.11,44.83,15.24,8.16
Concepción de Buenos Aires,75,MX,1584331559,46,19.97,-103.27,71.6,6.93
Arica,8,CL,1584331187,69,-18.48,-70.3,73.4,2.24
Kuching,40,MY,1584331560,94,1.55,110.33,77.0,5.82
Geraldton,95,AU,1584331101,57,-28.77,114.6,78.8,11.41
Nome,100,US,1584330980,98,64.5,-165.41,30.61,7.76
Bengkulu,74,ID,1584331120,58,-3.8,102.27,88.81,1.43
Porto-Novo,7,BJ,1584331144,84,6.5,2.6,81.63,6.8
Constitución,0,CL,1584331213,80,-35.33,-72.42,53.01,5.91
Salò,0,IT,1584331560,93,45.61,10.53,41.0,6.93
Taltal,0,CL,1584331189,89,-25.4,-70.48,57.81,3.4
Katherine,40,AU,1584331235,34,-14.47,132.27,95.0,6.93
Puerto Ayora,20,EC,1584330828,83,-0.74,-90.35,78.8,8.05
Karwar,0,IN,1584331561,66,14.8,74.13,80.04,5.41
Dwārka,100,IN,1584331561,50,22.24,68.97,75.31,21.43
Darnah,16,LY,1584331561,73,32.77,22.64,61.95,4.59
Yangi Marg`ilon,100,UZ,1584331124,31,40.43,71.72,59.0,6.93
Hilo,75,US,1584331060,69,19.73,-155.09,77.0,13.87
Mariehamn,90,AX,1584331562,87,60.1,19.93,42.8,8.05
Krasnosel'kup,100,RU,1584331562,79,65.7,82.47,-5.3,13.82
Narsaq,100,GL,1584331036,67,60.92,-46.05,21.2,0.69
Ngunguru,100,NZ,1584330783,77,-35.62,174.5,66.99,3.0
Celestún,0,MX,1584331562,84,20.87,-90.4,77.05,23.69
Yulara,0,AU,1584331062,8,-25.24,130.99,89.6,9.17
Boyolangu,0,ID,1584331169,65,-8.12,111.89,85.69,6.8
Mar del Plata,0,AR,1584331034,93,-38.0,-57.56,60.01,2.24
Yangjiang,98,CN,1584331578,63,21.85,111.97,73.99,9.48
Berlevåg,100,NO,1584331059,64,70.86,29.09,29.03,11.18
Itacoatiara,99,BR,1584331281,93,-3.14,-58.44,74.68,2.59
Beringovskiy,77,RU,1584331036,85,63.05,179.32,29.1,6.78
Castro,13,BR,1584331044,86,-24.79,-50.01,65.79,3.42
Linjiang,7,CN,1584331579,63,41.81,126.91,24.49,7.56
Saskylakh,100,RU,1584331060,95,71.92,114.08,-12.32,20.71
Rocha,26,UY,1584331125,91,-34.48,-54.33,53.87,2.37
Pandan,97,PH,1584331579,79,14.05,124.17,79.43,15.75
Evensk,100,RU,1584331579,92,61.95,159.23,15.76,15.61
Bouna,57,CI,1584331579,68,9.27,-3.0,78.58,6.44
Bontang,13,ID,1584331579,74,0.13,117.5,82.8,14.83
Northam,0,GB,1584331191,85,51.03,-4.22,43.0,3.0
Margate,18,GB,1584331580,93,51.38,1.39,45.0,6.93
Saint Paul Harbor,40,US,1584331185,64,57.79,-152.41,39.2,9.17
Shelburne,1,CA,1584331565,78,44.08,-80.2,27.0,4.5
Te Anau,98,NZ,1584331014,72,-45.42,167.72,49.69,9.01
Clyde River,75,CA,1584331167,74,70.47,-68.59,-22.0,14.99
Serenje,100,ZM,1584331580,96,-13.23,30.24,64.2,3.49
Ankang,100,CN,1584331581,38,32.68,109.02,53.01,5.23
Coquimbo,90,CL,1584331124,87,-29.95,-71.34,60.8,4.47
Karratha,0,AU,1584331041,70,-20.74,116.85,86.41,8.21
Pombas,75,CV,1584331581,68,17.15,-25.02,69.8,23.04
Fairbanks,90,US,1584330761,68,64.84,-147.72,30.2,9.17
Sinegor'ye,88,RU,1584331230,93,62.08,150.48,-4.45,5.35
São João da Barra,0,BR,1584331582,87,-21.64,-41.05,77.74,12.17
Mumford,10,GH,1584331582,89,5.26,-0.76,77.97,5.41
Flinders,75,AU,1584331582,72,-34.58,150.86,70.0,12.75
Shimoda,75,JP,1584331102,50,34.67,138.95,57.2,4.7
Suntar,100,RU,1584331583,96,62.14,117.63,31.51,9.46
Smithers,5,CA,1584331168,53,54.78,-127.17,24.8,2.24
Chenghai,65,CN,1584331583,37,23.46,116.77,69.8,8.95
Westport,1,US,1584331037,26,41.14,-73.36,44.01,11.41
Cairns,34,AU,1584331521,46,-16.92,145.77,89.6,10.29
Sokoto,93,NG,1584331583,11,13.06,5.24,73.51,8.19
Tabou,100,CI,1584331255,95,4.42,-7.35,74.95,1.74
Rawson,79,AR,1584331167,66,-43.3,-65.1,64.27,20.18
New Norfolk,20,AU,1584331079,52,-42.78,147.06,69.01,16.11
Shatki,98,RU,1584331584,90,55.19,44.12,23.38,11.16
Alta Floresta,100,BR,1584331123,98,-9.88,-56.09,70.84,3.09
São Filipe,14,CV,1584331167,72,14.9,-24.5,70.61,20.02
Kahului,75,US,1584331208,83,20.89,-156.47,75.2,18.28
Puerto Madryn,100,AR,1584331600,48,-42.77,-65.04,66.18,23.44
Pecos,90,US,1584331600,93,31.42,-103.49,57.0,11.41
Camabatela,100,AO,1584331600,98,-8.19,15.38,64.83,4.61
Shubarkuduk,97,KZ,1584331600,78,49.14,56.49,33.94,5.82
Leshukonskoye,100,RU,1584331600,90,64.9,45.76,19.04,13.38
Galle,0,LK,1584331600,79,6.04,80.22,82.18,9.31
Hambantota,24,LK,1584331600,74,6.12,81.12,86.0,11.41
Blairmore,1,CA,1584331601,76,49.6,-114.44,6.01,10.29
Chui,99,UY,1584330866,74,-33.7,-53.46,61.84,4.61
Çermik,75,TR,1584331601,81,38.14,39.45,50.0,10.29
Mehamn,100,NO,1584331189,79,71.04,27.85,20.05,8.3
Ryōtsu-minato,75,JP,1584331601,64,38.08,138.43,42.8,6.93
Grootfontein,100,NA,1584331601,93,-19.57,18.12,64.4,4.7
Dikson,100,RU,1584331060,100,73.51,80.55,-14.04,8.28
Jinji,100,CN,1584331602,71,23.23,110.83,67.55,8.01
Norrtälje,40,SE,1584331602,93,59.76,18.7,42.8,9.17
Lata,40,PT,1584331120,81,40.16,-8.33,46.4,3.36
Lebu,0,CL,1584331034,76,-37.62,-73.65,56.28,8.46
Mahébourg,75,MU,1584330843,94,-20.41,57.7,78.01,2.24
Tweed,5,CA,1584331602,36,44.48,-77.32,28.4,8.05
Cayenne,20,GF,1584330962,88,4.93,-52.33,77.0,6.62
Davila,20,PH,1584331603,43,18.47,120.58,89.6,6.93
Hobyo,69,SO,1584331603,80,5.35,48.53,80.29,14.14
Yellowknife,20,CA,1584330850,65,62.46,-114.35,8.6,12.75
Hasaki,40,JP,1584331016,32,35.73,140.83,57.0,13.87
Matara,0,LK,1584331034,67,5.95,80.54,84.54,2.89
Labuhan,0,ID,1584331603,70,-6.88,112.21,85.28,5.99
Amberley,90,US,1584331603,69,39.2,-84.43,42.01,8.05
Road Town,2,VG,1584331189,81,18.42,-64.62,75.99,3.0
Cabo San Lucas,75,MX,1584330837,72,22.89,-109.91,70.0,3.36
Potiskum,39,NG,1584331604,12,11.71,11.07,65.97,8.32
Cabedelo,75,BR,1584331604,94,-6.98,-34.83,77.0,4.7
Borogontsy,90,RU,1584331604,92,62.67,131.17,3.25,7.14
São Félix do Xingu,100,BR,1584331604,99,-6.64,-51.99,69.75,3.47
Mahibadhoo,5,MV,1584331604,68,3.78,72.97,83.3,5.35
Araouane,0,ML,1584331605,8,18.9,-3.53,76.08,11.41
Morondava,0,MG,1584331605,91,-20.28,44.28,71.62,0.65
Cotonou,7,BJ,1584331605,84,6.37,2.42,81.63,6.8
Bonfim,11,BR,1584331101,65,3.08,-59.95,81.48,8.34
Terrace,5,CA,1584331104,29,54.52,-128.6,37.4,19.46
Babīna,72,IN,1584331605,28,25.25,78.47,68.18,5.55
Luga,100,RU,1584331605,55,58.74,29.85,32.85,11.74
El Tigre,87,VE,1584331606,66,8.89,-64.25,77.68,11.56
Laguna,20,US,1584331035,66,38.42,-121.42,51.8,3.36
Alofi,100,NU,1584331185,79,-19.06,-169.92,84.2,5.82
Barabinsk,98,RU,1584331621,83,55.36,78.36,33.19,25.64
Mbour,21,SN,1584331621,88,14.42,-16.96,71.6,16.11
Doha,15,QA,1584331483,68,25.29,51.53,71.6,2.24
Ancud,1,CL,1584331082,93,-41.87,-73.82,50.0,2.24
Pevek,0,RU,1584331622,82,69.7,170.31,7.54,12.26
Tonantins,79,BR,1584331421,93,-2.87,-67.8,75.15,2.68
Tal'menka,75,RU,1584331622,60,53.82,83.57,39.2,20.13
Isangel,90,VU,1584330835,79,-19.55,169.27,87.8,25.28
Cilegon,75,ID,1584331622,74,-6.02,106.05,87.01,9.17
Carnarvon,8,AU,1584331622,62,-24.87,113.63,84.2,16.11
Bhāndāria,1,BD,1584331622,45,22.49,90.06,82.2,7.09
Jiuquan,100,CN,1584330925,30,39.74,98.52,36.37,5.23
Nioro,89,GM,1584331623,29,13.35,-15.75,71.37,10.25
Airai,97,TL,1584331103,58,-8.93,125.41,80.28,5.86
Janakpur Dham,0,NP,1584331584,46,26.72,85.91,74.77,7.29
Tessalit,73,ML,1584330924,16,20.2,1.01,72.41,4.23
Coyhaique,90,CL,1584331623,76,-45.58,-72.07,55.4,4.7
Kaitangata,100,NZ,1584331623,83,-46.28,169.85,52.0,3.0
Marovoay,20,MG,1584331164,94,-16.1,46.63,77.0,3.24
Shache,0,CN,1584331624,22,38.42,77.24,47.23,5.55
Chebsara,11,RU,1584331624,73,59.2,38.84,21.2,6.71
Ocosingo,1,MX,1584331624,95,17.07,-92.25,62.31,2.21
Baní,25,DO,1584331624,78,18.28,-70.33,73.99,4.0
Nebbi,100,UG,1584331624,84,2.48,31.09,67.24,4.99
Port-Gentil,100,GA,1584331624,79,-0.72,8.78,82.35,7.99
Sterling,1,US,1584331624,86,39.01,-77.43,42.01,4.38
Mpanda,100,TZ,1584331625,97,-6.37,31.04,65.41,0.54
Itoman,0,JP,1584331164,40,26.12,127.67,68.0,16.11
Diego de Almagro,0,CL,1584331625,61,-26.37,-70.05,58.19,1.57
Barroquinha,100,BR,1584331625,97,-3.02,-41.14,74.86,3.4
Jaisalmer,69,IN,1584331625,33,26.91,70.92,70.52,9.1
San Patricio,12,MX,1584331625,84,19.22,-104.7,76.91,7.09
Santa Rosa,90,PH,1584331189,70,14.31,121.11,86.0,6.93
Puerto Escondido,40,MX,1584330804,83,15.85,-97.07,82.4,5.82
Kaeo,100,NZ,1584331273,77,-35.1,173.78,66.99,4.0
Skjervøy,100,NO,1584331626,85,70.03,20.97,27.41,35.93
Klaksvík,100,FO,1584331145,74,62.23,-6.59,33.8,16.11
Hamilton,90,US,1584330913,86,39.18,-84.53,42.01,3.36
Abhā,78,SA,1584331621,93,18.22,42.51,55.4,2.28
Krasne,33,UA,1584331627,67,49.91,24.61,23.0,8.95
Pokhara,0,NP,1584331505,36,28.23,83.98,66.42,0.76
Tīra Sujānpur,52,IN,1584331627,41,31.83,76.5,57.87,1.12
Bowen,61,AU,1584331642,61,-20.02,148.23,82.4,14.99
Galesong,40,ID,1584331642,70,-5.32,119.37,86.0,3.36
Fandriana,0,MG,1584331643,94,-20.23,47.38,52.09,1.3
Petropavlovsk-Kamchatskiy,90,RU,1584331595,100,53.05,158.65,35.6,15.66
Pangnirtung,100,CA,1584331643,91,66.15,-65.71,-19.59,7.7
Juneau,20,US,1584330940,69,58.3,-134.42,37.99,1.95
Taoudenni,0,ML,1584331255,12,22.68,-3.98,68.31,6.11
Guerrero Negro,0,MX,1584331446,72,27.98,-114.06,60.51,15.5
Hay River,75,CA,1584331232,67,60.82,-115.8,17.6,9.17
Sandwick,9,GB,1584331643,69,60.0,-1.25,39.2,6.93
Port Hedland,0,AU,1584331644,42,-20.32,118.57,100.4,9.17
Carinhanha,100,BR,1584331644,91,-14.3,-43.77,69.53,3.8
São José da Coroa Grande,46,BR,1584331644,74,-8.9,-35.15,82.15,5.64
Aswān,0,EG,1584331231,55,24.09,32.91,62.6,3.36
Ivanovka,100,KG,1584331644,40,42.89,75.08,53.6,6.71
Luleå,100,SE,1584331644,80,65.58,22.15,30.2,18.34
Tuatapere,78,NZ,1584331209,63,-46.13,167.68,55.0,11.99
Littlehampton,0,GB,1584331645,100,50.81,-0.54,42.01,3.36
Tual,3,ID,1584331645,78,-5.67,132.75,81.9,9.51
Maniitsoq,38,GL,1584331083,72,65.42,-52.9,-1.52,5.91
Marsá Maţrūḩ,0,EG,1584331645,93,31.35,27.25,50.0,4.54
Pisco,40,PE,1584331403,83,-13.7,-76.22,73.4,5.82
Asău,0,RO,1584331146,67,46.43,26.4,23.0,3.36
Sitka,1,US,1584330891,77,57.05,-135.33,42.8,11.41
Alexandria,0,EG,1584331548,93,31.22,29.96,59.0,2.24
Kavaratti,20,IN,1584331646,74,10.57,72.64,84.2,4.7
Geneva,4,CH,1584331446,93,46.2,6.15,42.01,1.12
Buraidah,0,SA,1584331646,87,26.33,43.98,57.2,5.82
Afonino,20,RU,1584331646,85,56.26,44.09,24.01,4.47
Arinos,80,BR,1584331646,91,-15.92,-46.11,68.5,0.69
Abu Dhabi,20,AE,1584331561,53,24.47,54.37,75.0,9.17
Grindavik,90,IS,1584330842,93,63.84,-22.43,35.6,35.57
Cidreira,100,BR,1584331647,91,-30.18,-50.21,74.34,14.25
Tomatlán,56,MX,1584331647,92,19.93,-105.25,69.26,1.72
Broken Hill,40,AU,1584331647,28,-31.95,141.43,80.6,11.41
Siilinjärvi,90,FI,1584331647,100,63.08,27.67,33.8,12.75
Sirsi,0,IN,1584331647,41,14.62,74.85,80.4,3.91
Kemijärvi,100,FI,1584331647,98,66.71,27.43,32.11,8.66
Inírida,67,CO,1584331648,86,3.87,-67.92,76.82,2.08
Coihueco,0,CL,1584331648,54,-36.62,-71.83,59.0,4.7
Deputatsky,0,RU,1584331251,81,69.3,139.9,-16.01,3.56
Pozo Colorado,57,PY,1584331648,49,-23.49,-58.8,81.14,4.5
Mukhen,38,RU,1584331648,74,48.1,136.1,22.05,10.0
San Cristobal,20,VE,1584331121,69,7.77,-72.22,77.0,4.7
Gouré,92,NE,1584331648,16,13.98,10.27,70.0,3.0
Arlit,100,NE,1584331235,12,18.74,7.39,71.87,8.5
Dunedin,88,NZ,1584330881,84,-45.87,170.5,53.01,1.99
Strezhevoy,90,RU,1584331664,92,60.73,77.59,23.0,15.66
Wuwei,97,CN,1584331664,31,37.93,102.64,44.31,6.8
Ponta Delgada,20,PT,1584331459,76,37.73,-25.67,50.0,2.24
Ilulissat,93,GL,1584331565,47,69.22,-51.1,-9.4,8.05
Novy Urengoy,0,RU,1584331664,92,66.08,76.63,-10.1,7.9
Al Bardīyah,0,LY,1584331665,76,31.76,25.09,60.98,1.23
Namatanai,91,PG,1584331147,71,-3.67,152.43,85.71,13.4
Mimongo,76,GA,1584331665,98,-1.62,11.61,68.14,2.91
Trat,20,TH,1584331665,79,12.5,102.5,90.0,2.24
Nyuksenitsa,0,RU,1584331665,88,60.41,44.24,15.08,8.39
Lingsugūr,79,IN,1584331665,64,16.17,76.52,76.26,10.94
Aquiraz,75,BR,1584331665,83,-3.9,-38.39,80.6,3.36
Narrabri,40,AU,1584331666,41,-30.32,149.78,78.8,16.11
Touros,75,BR,1584331666,100,-5.2,-35.46,75.2,4.7
Kompaniyivka,0,UA,1584331666,58,48.25,32.21,29.17,8.77
Longyearbyen,90,SJ,1584331666,84,78.22,15.64,-0.4,4.7
Takhtamygda,100,RU,1584331666,88,54.1,123.57,21.15,2.21
Bairiki Village,20,KI,1584331666,66,1.33,172.98,89.6,6.93
Iqaluit,90,CA,1584330860,64,63.75,-68.51,-0.4,13.87
Banjarmasin,27,ID,1584331666,58,-3.32,114.59,88.47,1.81
Hithadhoo,100,MV,1584331667,62,-0.6,73.08,83.16,5.84
Cam Ranh,20,VN,1584331667,66,11.92,109.16,87.8,12.75
General Roca,0,AR,1584331209,32,-39.03,-67.58,69.8,8.05
Norman Wells,20,CA,1584331207,78,65.28,-126.83,12.2,20.8
Djibo,100,BF,1584331667,12,14.1,-1.63,81.57,11.07
Yaring,20,TH,1584331667,70,6.87,101.37,86.0,13.87
Irtyshskiy,54,RU,1584331668,86,58.33,68.13,21.72,10.89
Provincia di Imperia,0,IT,1584331668,70,43.97,7.78,53.01,9.17
Teahupoo,40,PF,1584331668,66,-17.83,-149.27,86.0,12.75
Salamiyah,55,SY,1584331668,88,35.01,37.05,53.1,5.93
Pochutla,40,MX,1584331668,83,15.74,-96.47,82.4,5.82
Cockburn Town,0,TC,1584331188,69,21.46,-71.14,74.26,15.75
Feijó,100,BR,1584331668,90,-8.16,-70.35,76.42,1.25
Coxim,99,BR,1584331668,74,-18.51,-54.76,77.9,2.26
Nevel'sk,75,RU,1584331669,53,46.67,141.86,26.6,4.47
Rockland,1,US,1584331669,40,41.17,-74.05,44.6,10.29
Pangody,0,RU,1584331669,90,65.85,74.49,-9.78,6.58
Lorengau,100,PG,1584331145,72,-2.02,147.27,84.16,6.6
Lompoc,90,US,1584330866,93,34.64,-120.46,54.0,10.29
Piaçabuçu,5,BR,1584331167,84,-10.41,-36.43,79.16,7.56
Khāsh,68,IR,1584331669,41,28.22,61.22,55.94,6.78
Province of Vibo Valentia,20,IT,1584331669,75,38.7,16.13,57.0,8.05
Plátanos,75,GR,1584331670,81,37.67,21.62,51.8,4.7
Manadhoo,51,MV,1584331561,78,5.77,73.38,82.85,7.76
Byron Bay,75,AU,1584331207,53,-28.65,153.62,79.0,19.46
Jashpurnagar,67,IN,1584331670,56,22.9,84.15,71.33,2.26
Dingle,0,PH,1584331210,56,11.0,122.67,84.79,11.03
Kalevala,100,RU,1584331685,98,65.2,31.17,34.68,14.5
Ostrovnoy,100,RU,1584331686,95,68.05,39.51,24.62,7.56
Kabalo,99,CD,1584331686,97,-6.05,26.92,69.73,1.19
Chernyshevskiy,97,RU,1584331686,93,63.01,112.47,28.69,10.67
Port Blair,84,IN,1584331190,73,11.67,92.75,83.52,11.01
Nelson Bay,40,AU,1584331686,60,-32.72,152.15,75.2,19.46
Mirandopólis,4,BR,1584331686,86,-21.13,-51.1,74.07,3.22
Bellview,1,US,1584331686,88,30.46,-87.31,69.8,1.12
Kasongo-Lunda,100,CD,1584331687,97,-6.47,16.82,68.43,1.23
Kralendijk,60,BQ,1584331557,74,12.15,-68.27,78.8,6.93
Ust-Nera,86,RU,1584331687,90,64.57,143.2,-12.82,3.96
Lavrentiya,0,RU,1584331235,83,65.58,-171.0,25.83,7.25
Vikhorevka,40,RU,1584331687,69,56.12,101.16,35.6,11.18
Huarmey,100,PE,1584331687,69,-10.07,-78.15,73.71,2.3
Caravelas,100,BR,1584331687,80,-17.71,-39.25,80.2,7.7
Duki,0,PK,1584331688,44,30.15,68.57,57.18,4.45
Santiago del Estero,99,AR,1584331688,84,-27.8,-64.26,63.68,5.55
Chokwé,19,MZ,1584331688,92,-24.53,32.98,73.53,7.02
Shanghai,0,CN,1584331688,33,31.22,121.46,60.8,8.95
The Valley,20,AI,1584331688,73,18.22,-63.06,77.0,5.82
Nicoya,53,CR,1584331688,58,10.15,-85.45,82.4,18.34
Aykhal,90,RU,1584331100,92,66.0,111.5,24.8,6.71
Pesca,87,CO,1584331688,94,5.55,-73.05,50.81,0.6
Hervey Bay,75,AU,1584331689,45,-25.3,152.85,82.4,17.22
Gorontalo,2,ID,1584331529,48,0.54,123.06,90.23,1.05
High Level,40,CA,1584331689,93,58.52,-117.14,32.0,6.93
Talnakh,40,RU,1584331689,75,69.49,88.4,-13.0,8.95
Soc Trang,40,VN,1584331689,62,9.6,105.98,89.6,14.99
Oddur,13,SO,1584331689,95,4.12,43.89,70.2,11.88
Maceió,90,BR,1584331689,94,-9.67,-35.74,75.2,8.05
Perth,75,AU,1584331613,53,-31.93,115.83,78.8,11.41
Tianpeng,75,CN,1584331693,93,30.99,103.94,59.0,8.95
Blackpool,40,GB,1584331526,87,53.82,-3.05,45.0,8.05
Neftçala,0,AZ,1584331693,83,39.37,49.25,48.67,21.05
